,sLapDistance,xCarX,xCarY,vCar
00:28.1,1204.73,376.1,383.88,108.7
00:28.2,1206.21,376.78,382.56,105.73
00:28.2,1207.66,377.45,381.28,102.79
00:28.3,1209.07,378.11,380.04,99.75
00:28.4,1210.44,378.76,378.84,96.99
00:28.4,1211.76,379.39,377.67,94.29
00:28.5,1213.06,380,376.54,91.69
00:28.5,1214.31,380.61,375.44,89.21
00:28.6,1215.53,381.2,374.37,86.78
00:28.6,1216.72,381.78,373.34,84.48
00:28.6,1217.88,382.35,372.33,82.31
00:28.7,1219.01,382.91,371.36,80.28
00:28.7,1220.11,383.47,370.42,78.37
00:28.8,1221.19,384.03,369.5,76.48
00:28.9,1222.24,384.59,368.62,74.52
00:28.9,1223.26,385.16,367.77,72.58
00:29.0,1224.26,385.73,366.96,70.76
00:29.0,1225.23,386.31,366.18,69.16
00:29.1,1226.18,386.9,365.44,67.71
00:29.1,1227.11,387.5,364.73,66.31
00:29.1,1228.03,388.11,364.06,64.98
00:29.2,1228.92,388.74,363.42,63.65
00:29.3,1229.8,389.37,362.82,62.28
00:29.3,1230.66,390.01,362.26,60.9
00:29.3,1231.5,390.65,361.73,59.52
00:29.4,1232.32,391.3,361.24,58.17
00:29.5,1233.12,391.96,360.78,56.87
00:29.5,1233.91,392.61,360.36,55.63
00:29.5,1234.68,393.27,359.98,54.45
00:29.6,1235.43,393.93,359.62,53.29
00:29.6,1236.17,394.59,359.3,52.14
00:29.7,1236.89,395.24,359.02,51.06
00:29.7,1237.6,395.9,358.77,50.06
00:29.8,1238.29,396.55,358.55,49.12
00:29.9,1238.98,397.2,358.37,48.29
00:29.9,1239.65,397.85,358.22,47.56
00:30.0,1240.32,398.49,358.1,46.9
00:30.0,1240.97,399.13,358.01,46.25
00:30.1,1241.62,399.77,357.96,45.59
00:30.1,1242.26,400.39,357.95,44.96
00:30.1,1242.89,401.01,357.96,44.35
00:30.2,1243.52,401.62,358.01,43.76
00:30.3,1244.14,402.22,358.09,43.19
00:30.3,1244.75,402.8,358.2,42.64
00:30.4,1245.35,403.37,358.34,42.09
00:30.4,1245.95,403.93,358.52,41.56
00:30.5,1246.54,404.46,358.72,41.04
00:30.5,1247.12,404.98,358.95,40.52
00:30.6,1247.69,405.48,359.21,40
00:30.6,1248.26,405.95,359.49,39.51
00:30.6,1248.83,406.4,359.8,39.06
00:30.7,1249.39,406.83,360.13,38.66
00:30.7,1249.94,407.23,360.48,38.27
00:30.8,1250.49,407.6,360.86,37.88
00:30.9,1251.03,407.95,361.25,37.51
00:30.9,1251.57,408.27,361.65,37.15
00:30.9,1252.11,408.56,362.08,36.79
00:31.0,1252.64,408.82,362.51,36.45
00:31.0,1253.17,409.05,362.96,36.15
00:31.1,1253.69,409.25,363.42,36.21
00:31.2,1254.22,409.42,363.9,36.73
00:31.2,1254.76,409.57,364.39,37.62
00:31.2,1255.31,409.69,364.9,38.68
00:31.3,1255.88,409.79,365.44,39.73
00:31.4,1256.45,409.87,365.99,40.63
00:31.4,1257.04,409.92,366.56,41.46
00:31.4,1257.64,409.94,367.14,42.32
00:31.5,1258.25,409.93,367.73,43.21
00:31.6,1258.87,409.89,368.33,44.15
00:31.6,1259.5,409.82,368.95,45.08
00:31.6,1260.14,409.72,369.57,46.01
00:31.7,1260.8,409.59,370.2,46.94
00:31.8,1261.47,409.42,370.84,47.93
00:31.8,1262.15,409.22,371.48,48.95
00:31.9,1262.84,408.99,372.12,49.99
00:31.9,1263.55,408.73,372.77,51.07
00:32.0,1264.28,408.43,373.42,52.19
00:32.0,1265.02,408.1,374.07,53.43
00:32.1,1265.77,407.74,374.73,54.81
00:32.1,1266.55,407.34,375.38,56.35
00:32.1,1267.35,406.91,376.04,57.95
00:32.2,1268.17,406.44,376.71,59.64
00:32.2,1269.01,405.93,377.38,61.32
00:32.3,1269.88,405.39,378.05,63.15
00:32.4,1270.77,404.81,378.71,64.92
00:32.4,1271.68,404.19,379.38,66.71
00:32.5,1272.62,403.52,380.04,68.58
00:32.5,1273.59,402.82,380.69,70.46
00:32.5,1274.58,402.08,381.35,72.51
00:32.6,1275.61,401.3,382,74.66
00:32.6,1276.66,400.49,382.67,76.82
00:32.7,1277.74,399.65,383.34,78.99
00:32.7,1278.85,398.78,384.03,81.17
00:32.8,1280,397.89,384.74,83.34
00:32.8,1281.17,396.97,385.45,85.48
00:32.9,1282.37,396.02,386.19,87.68
00:33.0,1283.61,395.05,386.94,89.97
00:33.0,1284.87,394.06,387.72,91.8
00:33.0,1286.15,393.06,388.52,92.41
00:33.1,1287.43,392.08,389.33,91.65
00:33.2,1288.69,391.13,390.16,90.32
00:33.2,1289.94,390.2,390.99,88.97
00:33.2,1291.17,389.31,391.83,87.73
00:33.3,1292.38,388.45,392.67,86.52
00:33.3,1293.57,387.62,393.53,85.26
00:33.4,1294.75,386.83,394.39,83.96
00:33.5,1295.9,386.08,395.27,82.67
00:33.5,1297.04,385.37,396.15,81.47
00:33.5,1298.17,384.69,397.05,80.51
00:33.6,1299.28,384.05,397.96,79.79
00:33.6,1300.39,383.45,398.88,79.23
00:33.7,1301.48,382.88,399.81,78.83
00:33.8,1302.58,382.34,400.76,78.51
00:33.8,1303.67,381.83,401.72,78.2
00:33.9,1304.75,381.36,402.69,78.02
00:33.9,1305.83,380.92,403.67,77.98
00:34.0,1306.92,380.51,404.67,77.99
00:34.0,1308,380.13,405.69,77.94
00:34.0,1309.08,379.8,406.71,77.67
00:34.1,1310.16,379.49,407.74,77.3
00:34.1,1311.23,379.23,408.77,76.95
00:34.2,1312.3,379,409.81,76.64
00:34.2,1313.36,378.81,410.85,76.32
00:34.3,1314.42,378.65,411.9,75.99
00:34.3,1315.47,378.53,412.94,75.68
00:34.4,1316.52,378.45,413.98,75.33
00:34.5,1317.57,378.4,415.02,75.01
00:34.5,1318.61,378.39,416.06,74.79
00:34.6,1319.64,378.41,417.09,74.49
00:34.6,1320.67,378.46,418.12,74.18
00:34.6,1321.7,378.55,419.14,73.86
00:34.7,1322.73,378.67,420.15,73.5
00:34.8,1323.75,378.82,421.15,73.15
00:34.8,1324.76,379.02,422.14,72.82
00:34.8,1325.77,379.24,423.12,72.45
00:34.9,1326.77,379.51,424.08,72.11
00:35.0,1327.77,379.8,425.04,72.11
00:35.0,1328.78,380.14,425.98,72.49
00:35.0,1329.79,380.52,426.91,72.96
00:35.1,1330.81,380.95,427.83,73.64
00:35.2,1331.84,381.41,428.74,74.3
00:35.2,1332.87,381.91,429.65,74.94
00:35.3,1333.92,382.43,430.55,75.79
00:35.3,1334.98,382.98,431.44,76.39
00:35.3,1336.05,383.59,432.32,77.14
00:35.4,1337.13,384.23,433.17,77.84
00:35.5,1338.22,384.91,434.02,78.6
00:35.5,1339.32,385.62,434.85,79.51
00:35.5,1340.43,386.36,435.68,80.22
00:35.6,1341.55,387.12,436.49,81.11
00:35.7,1342.68,387.92,437.28,81.96
00:35.7,1343.83,388.76,438.06,82.95
00:35.7,1344.99,389.63,438.82,84.18
00:35.8,1346.16,390.54,439.56,85.65
00:35.9,1347.36,391.48,440.3,87.32
00:35.9,1348.59,392.45,441.03,89.09
00:36.0,1349.84,393.47,441.75,91
00:36.0,1351.12,394.52,442.47,92.98
00:36.1,1352.42,395.6,443.18,95.06
00:36.1,1353.76,396.73,443.89,97.11
00:36.1,1355.12,397.89,444.58,99.2
00:36.2,1356.51,399.09,445.28,101.27
00:36.2,1357.94,400.32,445.97,103.35
00:36.3,1359.39,401.59,446.66,105.4
00:36.3,1360.87,402.89,447.35,107.48
00:36.4,1362.38,404.22,448.05,109.72
00:36.5,1363.92,405.59,448.75,112
00:36.5,1365.49,406.98,449.46,113.69
00:36.6,1367.06,408.39,450.16,112.95
00:36.6,1368.62,409.79,450.84,111.05
00:36.6,1370.15,411.17,451.48,108.49
00:36.7,1371.63,412.53,452.09,105.83
00:36.7,1373.09,413.86,452.65,103.09
00:36.8,1374.5,415.18,453.16,100.46
00:36.8,1375.88,416.47,453.63,97.96
00:36.9,1377.22,417.74,454.07,95.44
00:37.0,1378.53,418.98,454.48,92.88
00:37.0,1379.8,420.2,454.84,90.39
00:37.0,1381.04,421.39,455.17,87.92
00:37.1,1382.25,422.56,455.46,85.57
00:37.2,1383.42,423.7,455.73,83.43
00:37.2,1384.57,424.82,455.95,81.57
00:37.3,1385.69,425.93,456.15,79.99
00:37.3,1386.79,427.02,456.31,78.62
00:37.4,1387.88,428.09,456.43,77.64
00:37.4,1388.95,429.16,456.52,77.06
00:37.5,1390.02,430.23,456.58,76.65
00:37.5,1391.09,431.29,456.6,76.27
00:37.5,1392.14,432.34,456.58,75.88
00:37.6,1393.19,433.39,456.53,75.49
00:37.6,1394.24,434.43,456.44,75.14
00:37.7,1395.28,435.47,456.32,75
00:37.7,1396.33,436.5,456.17,75.26
00:37.8,1397.38,437.53,455.98,75.89
00:37.9,1398.43,438.56,455.75,76.46
00:37.9,1399.5,439.59,455.49,76.47
00:38.0,1400.56,440.61,455.2,76.05
00:38.0,1401.61,441.61,454.88,75.49
00:38.1,1402.66,442.59,454.52,74.9
00:38.1,1403.69,443.55,454.14,74.31
00:38.2,1404.72,444.5,453.73,73.72
00:38.2,1405.74,445.42,453.29,73.17
00:38.2,1406.76,446.31,452.82,72.7
00:38.3,1407.76,447.19,452.33,72.27
00:38.4,1408.77,448.04,451.8,71.85
00:38.4,1409.76,448.87,451.25,71.44
00:38.5,1410.75,449.67,450.68,71.02
00:38.5,1411.74,450.45,450.07,70.62
00:38.6,1412.72,451.2,449.44,70.51
00:38.6,1413.7,451.92,448.78,70.99
00:38.6,1414.7,452.63,448.09,71.74
00:38.7,1415.7,453.33,447.37,72.66
00:38.8,1416.72,454.01,446.61,73.6
00:38.8,1417.75,454.67,445.83,74.54
00:38.8,1418.79,455.31,445.01,75.4
00:38.9,1419.85,455.93,444.16,76.28
00:39.0,1420.92,456.53,443.28,77.16
00:39.0,1422,457.1,442.36,78.05
00:39.0,1423.09,457.65,441.42,79.02
00:39.1,1424.2,458.17,440.45,80.13
00:39.2,1425.32,458.67,439.44,81.35
00:39.2,1426.46,459.15,438.41,82.69
00:39.3,1427.62,459.61,437.35,84.11
00:39.3,1428.8,460.05,436.25,85.53
00:39.3,1430,460.46,435.13,86.96
00:39.4,1431.22,460.84,433.97,88.33
00:39.5,1432.45,461.19,432.79,89.68
00:39.5,1433.71,461.51,431.57,91.04
00:39.5,1434.98,461.79,430.33,92.55
00:39.6,1436.28,462.04,429.06,94.2
00:39.6,1437.59,462.28,427.76,95.9
00:39.7,1438.94,462.48,426.43,97.7
00:39.7,1440.31,462.66,425.07,99.62
00:39.8,1441.71,462.8,423.68,101.65
00:39.9,1443.13,462.91,422.26,103.77
00:39.9,1444.59,463,420.81,106.04
00:40.0,1446.08,463.06,419.32,108.51
00:40.0,1447.6,463.09,417.79,110.81
00:40.0,1449.16,463.09,416.24,113.01
00:40.1,1450.74,463.06,414.66,115.26
00:40.2,1452.35,463.01,413.04,117.46
00:40.2,1454,462.93,411.4,119.58
00:40.2,1455.67,462.84,409.72,121.63
00:40.3,1457.38,462.75,408.02,123.82
00:40.3,1459.12,462.67,406.29,126.16
00:40.4,1460.89,462.6,404.52,128.5
00:40.5,1462.69,462.55,402.72,130.8
00:40.5,1464.52,462.51,400.89,133.01
00:40.6,1466.38,462.47,399.03,135.25
00:40.6,1468.27,462.42,397.13,137.38
00:40.6,1470.19,462.37,395.21,139.52
00:40.7,1472.15,462.31,393.26,141.65
00:40.8,1474.13,462.24,391.28,143.72
00:40.8,1476.14,462.17,389.27,145.85
00:40.9,1478.18,462.09,387.23,147.96
00:40.9,1480.25,462.02,385.16,150.05
00:41.0,1482.35,461.94,383.07,152.12
00:41.0,1484.48,461.87,380.94,154.14
00:41.0,1486.63,461.79,378.79,156.1
00:41.1,1488.81,461.71,376.61,158.05
00:41.1,1491.02,461.62,374.4,159.94
00:41.2,1493.26,461.53,372.17,161.81
00:41.3,1495.51,461.43,369.91,163.67
00:41.3,1497.8,461.33,367.63,165.49
00:41.3,1500.11,461.22,365.32,167.26
00:41.4,1502.45,461.1,362.99,169.03
00:41.5,1504.81,460.98,360.63,170.77
00:41.5,1507.19,460.84,358.25,172.5
00:41.6,1509.6,460.7,355.85,174.22
00:41.6,1512.03,460.55,353.42,175.91
00:41.7,1514.48,460.39,350.97,177.56
00:41.7,1516.96,460.22,348.5,179.18
00:41.7,1519.46,460.04,346.01,180.8
00:41.8,1521.98,459.86,343.49,182.39
00:41.8,1524.53,459.67,340.96,183.96
00:41.9,1527.09,459.46,338.4,185.53
00:42.0,1529.68,459.25,335.82,187.06
00:42.0,1532.29,459.03,333.22,188.56
00:42.1,1534.92,458.8,330.6,190.05
00:42.1,1537.57,458.57,327.96,191.5
00:42.1,1540.24,458.32,325.3,192.94
00:42.2,1542.93,458.06,322.63,194.38
00:42.2,1545.64,457.79,319.93,195.8
00:42.3,1548.37,457.51,317.22,197.21
00:42.4,1551.11,457.21,314.48,198.62
00:42.4,1553.88,456.89,311.73,200
00:42.5,1556.67,456.56,308.97,201.35
00:42.5,1559.48,456.22,306.18,202.68
00:42.5,1562.3,455.85,303.38,203.99
00:42.6,1565.14,455.47,300.56,205.3
00:42.7,1568,455.07,297.73,206.61
00:42.7,1570.88,454.65,294.88,207.89
00:42.8,1573.78,454.21,292.02,209.14
00:42.8,1576.69,453.74,289.15,210.38
00:42.9,1579.62,453.25,286.26,211.6
00:42.9,1582.57,452.74,283.35,212.81
00:43.0,1585.53,452.2,280.44,214
00:43.0,1588.51,451.64,277.51,215.18
00:43.1,1591.51,451.05,274.58,216.34
00:43.1,1594.52,450.43,271.63,217.5
00:43.1,1597.55,449.77,268.67,218.66
00:43.2,1600.59,449.09,265.7,219.81
00:43.2,1603.65,448.38,262.73,220.93
00:43.3,1606.73,447.64,259.74,222.04
00:43.4,1609.82,446.87,256.75,223.14
00:43.4,1612.93,446.08,253.74,224.24
00:43.5,1616.05,445.27,250.73,225.34
00:43.5,1619.19,444.43,247.7,226.41
00:43.6,1622.34,443.56,244.67,227.45
00:43.6,1625.5,442.65,241.64,228.44
00:43.6,1628.68,441.71,238.6,229.43
00:43.7,1631.87,440.74,235.56,230.42
00:43.7,1635.08,439.73,232.52,231.37
00:43.8,1638.3,438.67,229.48,232.28
00:43.8,1641.53,437.56,226.44,233.21
00:43.9,1644.78,436.4,223.41,234.11
00:44.0,1648.03,435.19,220.38,235.01
00:44.0,1651.3,433.95,217.36,235.91
00:44.0,1654.59,432.66,214.34,236.79
00:44.1,1657.88,431.34,211.32,237.65
00:44.1,1661.18,429.97,208.32,238.45
00:44.2,1664.5,428.54,205.32,239.23
00:44.2,1667.83,427.06,202.34,239.97
00:44.3,1671.16,425.53,199.38,240.69
00:44.4,1674.51,423.94,196.43,241.43
00:44.4,1677.87,422.29,193.5,242.14
00:44.5,1681.23,420.61,190.58,242.9
00:44.5,1684.61,418.88,187.68,243.68
00:44.5,1688,417.1,184.8,244.42
00:44.6,1691.4,415.26,181.94,245.13
00:44.7,1694.81,413.38,179.1,245.82
00:44.7,1698.23,411.44,176.28,246.56
00:44.8,1701.65,409.47,173.47,247.29
00:44.8,1705.09,407.44,170.7,247.98
00:44.8,1708.54,405.36,167.95,248.66
00:44.9,1712,403.22,165.23,249.38
00:45.0,1715.47,401.03,162.53,250.15
00:45.0,1718.95,398.81,159.86,250.95
00:45.0,1722.44,396.55,157.2,251.76
00:45.1,1725.94,394.26,154.55,252.55
00:45.2,1729.45,391.93,151.92,253.27
00:45.2,1732.98,389.56,149.31,253.96
00:45.2,1736.51,387.14,146.74,254.63
00:45.3,1740.05,384.68,144.2,255.3
00:45.4,1743.6,382.17,141.69,255.92
00:45.4,1747.15,379.61,139.21,256.42
00:45.5,1750.72,377,136.78,256.99
00:45.5,1754.29,374.35,134.39,257.54
00:45.6,1757.87,371.66,132.02,258.05
00:45.6,1761.46,368.93,129.69,258.7
00:45.6,1765.05,366.16,127.39,259.31
00:45.7,1768.66,363.35,125.14,259.97
00:45.8,1772.27,360.5,122.91,260.65
00:45.8,1775.9,357.62,120.72,261.35
00:45.8,1779.53,354.7,118.55,261.98
00:45.9,1783.18,351.75,116.41,262.58
00:46.0,1786.82,348.77,114.3,263.15
00:46.0,1790.48,345.75,112.24,263.67
00:46.0,1794.15,342.7,110.21,264.14
00:46.1,1797.82,339.6,108.24,264.62
00:46.2,1801.49,336.47,106.31,265.21
00:46.2,1805.18,333.3,104.42,265.87
00:46.3,1808.88,330.11,102.56,266.54
00:46.3,1812.59,326.89,100.72,267.11
00:46.3,1816.3,323.65,98.9,267.84
00:46.4,1820.03,320.4,97.08,268.56
00:46.5,1823.76,317.14,95.26,269.28
00:46.5,1827.51,313.86,93.45,269.99
00:46.5,1831.26,310.57,91.63,270.68
00:46.6,1835.03,307.27,89.83,271.29
00:46.7,1838.79,303.96,88.02,271.85
00:46.7,1842.58,300.63,86.23,272.56
00:46.7,1846.37,297.3,84.43,273.24
00:46.8,1850.17,293.94,82.65,273.9
00:46.8,1853.98,290.57,80.87,274.55
00:46.9,1857.79,287.19,79.11,275.18
00:47.0,1861.62,283.79,77.35,275.81
00:47.0,1865.45,280.37,75.62,276.44
00:47.0,1869.3,276.93,73.9,277.05
00:47.1,1873.15,273.47,72.21,277.63
00:47.1,1877.01,269.99,70.53,278.23
00:47.2,1880.88,266.49,68.88,278.84
00:47.3,1884.75,262.98,67.24,279.45
00:47.3,1888.64,259.44,65.63,280.01
00:47.4,1892.53,255.89,64.04,280.59
00:47.4,1896.43,252.32,62.47,281.19
00:47.5,1900.34,248.73,60.93,281.67
00:47.5,1904.25,245.12,59.41,281.14
00:47.5,1908.14,241.53,57.92,278.6
00:47.6,1911.98,237.97,56.46,275.19
00:47.7,1915.78,234.45,55.05,271.52
00:47.7,1919.52,230.96,53.67,267.87
00:47.7,1923.22,227.52,52.33,264.23
00:47.8,1926.86,224.12,51.01,260.54
00:47.8,1930.46,220.77,49.72,256.9
00:47.9,1934,217.45,48.47,253.32
00:47.9,1937.5,214.18,47.25,249.81
00:48.0,1940.94,210.94,46.06,246.37
00:48.1,1944.34,207.75,44.91,242.97
00:48.1,1947.69,204.59,43.78,239.8
00:48.1,1951,201.47,42.69,236.85
00:48.2,1954.27,198.38,41.61,234.26
00:48.3,1957.5,195.32,40.56,231.42
00:48.3,1960.69,192.3,39.53,228.35
00:48.3,1963.84,189.31,38.53,225.36
00:48.4,1966.95,186.36,37.57,222.07
00:48.5,1970.01,183.44,36.64,218.81
00:48.5,1973.03,180.56,35.75,215.88
00:48.5,1976.01,177.71,34.89,212.94
00:48.6,1978.94,174.89,34.06,209.7
00:48.6,1981.83,172.12,33.25,206.7
00:48.7,1984.68,169.38,32.46,203.89
00:48.7,1987.5,166.68,31.68,201.13
00:48.8,1990.27,164.01,30.93,198.72
00:48.9,1993.01,161.37,30.19,196.42
00:48.9,1995.72,158.76,29.47,193.74
00:49.0,1998.39,156.18,28.77,190.47
00:49.0,2001.01,153.65,28.11,187.17
00:49.0,2003.58,151.15,27.49,184.09
00:49.1,2006.12,148.68,26.92,181.18
00:49.2,2008.62,146.25,26.38,178.31
00:49.2,2011.07,143.85,25.87,175.4
00:49.2,2013.49,141.49,25.37,172.22
00:49.3,2015.86,139.18,24.88,168.73
00:49.3,2018.18,136.91,24.4,165.02
00:49.4,2020.44,134.7,23.92,161.32
00:49.5,2022.66,132.54,23.46,157.96
00:49.5,2024.83,130.41,23,155.11
00:49.6,2026.97,128.33,22.56,151.91
00:49.6,2029.05,126.3,22.12,148.47
00:49.7,2031.09,124.31,21.7,144.75
00:49.7,2033.07,122.37,21.27,141.12
00:49.7,2035.01,120.48,20.85,137.65
00:49.8,2036.9,118.64,20.43,134.38
00:49.8,2038.74,116.85,20.01,131.34
00:49.9,2040.55,115.1,19.59,128.26
00:50.0,2042.31,113.39,19.16,125.06
00:50.0,2044.02,111.74,18.73,121.68
00:50.0,2045.69,110.13,18.29,118.57
00:50.1,2047.31,108.57,17.84,115.56
00:50.1,2048.9,107.05,17.38,112.74
00:50.2,2050.45,105.58,16.91,110.27
00:50.2,2051.96,104.14,16.44,107.42
00:50.3,2053.44,102.75,15.96,104.99
00:50.4,2054.88,101.39,15.48,102.43
00:50.4,2056.28,100.08,14.99,99.88
00:50.5,2057.65,98.8,14.49,97.54
00:50.5,2058.99,97.57,13.98,95.12
00:50.5,2060.3,96.37,13.45,93.03
00:50.6,2061.57,95.22,12.91,90.86
00:50.6,2062.82,94.1,12.36,88.6
00:50.7,2064.04,93.03,11.79,86.55
00:50.8,2065.23,91.99,11.2,84.5
00:50.8,2066.39,91,10.61,82.53
00:50.8,2067.52,90.05,9.99,80.64
00:50.9,2068.63,89.14,9.37,78.86
00:51.0,2069.71,88.26,8.73,77.09
00:51.0,2070.77,87.42,8.09,75.56
00:51.0,2071.82,86.61,7.43,74.56
00:51.1,2072.85,85.84,6.75,73.94
00:51.2,2073.88,85.09,6.05,73.35
00:51.2,2074.89,84.38,5.32,72.73
00:51.2,2075.9,83.71,4.58,72.18
00:51.3,2076.9,83.07,3.81,71.65
00:51.3,2077.9,82.46,3.03,71.08
00:51.4,2078.88,81.88,2.24,70.27
00:51.5,2079.85,81.34,1.43,69.06
00:51.5,2080.8,80.84,0.63,67.53
00:51.6,2081.73,80.38,-0.18,65.78
00:51.6,2082.63,79.96,-0.97,63.84
00:51.6,2083.5,79.58,-1.76,61.87
00:51.7,2084.35,79.21,-2.52,59.84
00:51.7,2085.17,78.84,-3.25,57.78
00:51.8,2085.96,78.47,-3.94,55.8
00:51.9,2086.72,78.09,-4.6,53.96
00:51.9,2087.46,77.7,-5.23,52.28
00:52.0,2088.18,77.3,-5.82,50.81
00:52.0,2088.89,76.89,-6.39,49.73
00:52.0,2089.57,76.47,-6.92,49.18
00:52.1,2090.26,76.03,-7.45,48.6
00:52.2,2090.94,75.57,-7.94,48
00:52.2,2091.61,75.1,-8.4,47.46
00:52.3,2092.27,74.6,-8.83,46.91
00:52.3,2092.93,74.1,-9.23,46.49
00:52.4,2093.59,73.59,-9.63,46.34
00:52.4,2094.24,73.06,-10,46.4
00:52.5,2094.89,72.51,-10.35,47.69
00:52.5,2095.57,71.92,-10.67,48.97
00:52.6,2096.27,71.29,-10.95,50.27
00:52.6,2096.98,70.64,-11.21,51.57
00:52.6,2097.7,69.96,-11.46,52.81
00:52.7,2098.45,69.25,-11.69,54.1
00:52.7,2099.22,68.52,-11.9,55.69
00:52.8,2100.01,67.75,-12.08,57.45
00:52.8,2100.82,66.96,-12.23,59.45
00:52.9,2101.66,66.13,-12.36,61.58
00:53.0,2102.54,65.26,-12.47,63.86
00:53.0,2103.44,64.36,-12.55,66.09
00:53.1,2104.37,63.43,-12.63,68.46
00:53.1,2105.34,62.47,-12.69,70.94
00:53.1,2106.34,61.46,-12.73,73.57
00:53.2,2107.38,60.43,-12.75,76.07
00:53.2,2108.45,59.35,-12.75,78.59
00:53.3,2109.57,58.24,-12.73,81.1
00:53.3,2110.71,57.1,-12.7,83.65
00:53.4,2111.89,55.92,-12.64,86.12
00:53.5,2113.1,54.71,-12.56,88.6
00:53.5,2114.35,53.47,-12.46,90.97
00:53.5,2115.63,52.2,-12.33,93.14
00:53.6,2116.93,50.9,-12.18,95.28
00:53.7,2118.27,49.57,-12.01,97.68
00:53.7,2119.65,48.21,-11.83,100.07
00:53.7,2121.05,46.81,-11.63,102.58
00:53.8,2122.5,45.39,-11.43,105.15
00:53.9,2123.97,43.92,-11.24,107.76
00:53.9,2125.49,42.41,-11.07,110.32
00:53.9,2127.04,40.87,-10.92,112.87
00:54.0,2128.63,39.29,-10.79,115.37
00:54.1,2130.25,37.68,-10.68,117.77
00:54.1,2131.9,36.03,-10.59,120.16
00:54.2,2133.58,34.34,-10.52,122.52
00:54.2,2135.3,32.63,-10.48,124.77
00:54.3,2137.05,30.88,-10.46,127.02
00:54.3,2138.83,29.1,-10.47,129.32
00:54.3,2140.64,27.29,-10.5,131.55
00:54.4,2142.48,25.45,-10.55,133.63
00:54.5,2144.35,23.58,-10.62,135.74
00:54.5,2146.25,21.68,-10.7,137.88
00:54.5,2148.18,19.75,-10.8,140.03
00:54.6,2150.14,17.8,-10.92,142.1
00:54.6,2152.13,15.81,-11.06,144.17
00:54.7,2154.15,13.8,-11.23,146.26
00:54.7,2156.19,11.77,-11.42,148.3
00:54.8,2158.27,9.7,-11.63,150.32
00:54.9,2160.37,7.61,-11.85,152.31
00:54.9,2162.5,5.5,-12.1,154.27
00:55.0,2164.65,3.36,-12.36,156.21
00:55.0,2166.84,1.2,-12.64,158.14
00:55.1,2169.05,-0.99,-12.95,160.02
00:55.1,2171.28,-3.21,-13.27,161.86
00:55.1,2173.54,-5.44,-13.61,163.66
00:55.2,2175.82,-7.7,-13.96,165.43
00:55.3,2178.13,-9.98,-14.32,167.25
00:55.3,2180.47,-12.28,-14.7,169.03
00:55.3,2182.83,-14.61,-15.09,170.79
00:55.4,2185.21,-16.96,-15.48,172.52
00:55.5,2187.62,-19.34,-15.89,174.21
00:55.5,2190.05,-21.73,-16.3,175.88
00:55.6,2192.51,-24.15,-16.71,177.52
00:55.6,2194.98,-26.59,-17.13,179.12
00:55.7,2197.48,-29.06,-17.55,180.71
00:55.7,2200,-31.54,-17.98,182.3
00:55.7,2202.55,-34.05,-18.41,183.9
00:55.8,2205.11,-36.57,-18.84,185.48
00:55.8,2207.7,-39.12,-19.28,187.02
00:55.9,2210.31,-41.7,-19.72,188.52
00:56.0,2212.94,-44.29,-20.16,190
00:56.0,2215.58,-46.9,-20.61,191.45
00:56.0,2218.25,-49.53,-21.06,192.9
00:56.1,2220.94,-52.18,-21.51,194.36
00:56.1,2223.65,-54.85,-21.97,195.81
00:56.2,2226.38,-57.54,-22.44,197.23
00:56.3,2229.13,-60.25,-22.91,198.62
00:56.3,2231.9,-62.97,-23.39,200
